file,npaths,nss,time_s,nodes,edges,k_max
randomBN_20N50E4KMAX_16.bnet,224,2,0.0190052986145019,20,50,4
randomBN_20N44E4KMAX_7.bnet,170,2,0.01926851272583,20,44,4
randomBN_20N36E3KMAX_18.bnet,288,2,0.0216267108917236,20,36,3
randomBN_20N35E4KMAX_11.bnet,195,2,0.0218970775604248,20,35,4
randomBN_20N39E5KMAX_10.bnet,246,4,0.0377266407012939,20,39,5
randomBN_20N33E3KMAX_7.bnet,196,4,0.0381808280944824,20,33,3
randomBN_20N26E2KMAX_9.bnet,118,4,0.0385220050811767,20,26,2
randomBN_20N29E3KMAX_10.bnet,72,4,0.0403499603271484,20,29,3
randomBN_20N47E4KMAX_4.bnet,644,4,0.0395681858062744,20,47,4
randomBN_20N48E5KMAX_19.bnet,603,4,0.0419681072235107,20,48,5
randomBN_20N57E5KMAX_3.bnet,282,4,0.0508570671081543,20,57,5
randomBN_20N37E3KMAX_19.bnet,212,6,0.0567307472229003,20,37,3
randomBN_20N32E3KMAX_20.bnet,187,6,0.0573160648345947,20,32,3
randomBN_40N73E3KMAX_11.bnet,193,2,0.0549712181091308,40,73,3
randomBN_20N41E4KMAX_15.bnet,200,6,0.0584573745727539,20,41,4
randomBN_40N76E3KMAX_1.bnet,260,2,0.0556788444519043,40,76,3
randomBN_20N44E4KMAX_20.bnet,384,6,0.0618524551391601,20,44,4
randomBN_20N36E4KMAX_2.bnet,219,7,0.0660238265991211,20,36,4
randomBN_20N31E3KMAX_14.bnet,262,7,0.0664396286010742,20,31,3
randomBN_20N40E3KMAX_2.bnet,486,8,0.0684423446655273,20,40,3
randomBN_20N28E2KMAX_16.bnet,280,8,0.0729532241821289,20,28,2
randomBN_20N27E2KMAX_14.bnet,188,8,0.0742731094360351,20,27,2
randomBN_20N36E3KMAX_1.bnet,620,8,0.0735433101654052,20,36,3
randomBN_20N41E5KMAX_4.bnet,248,8,0.0751824378967285,20,41,5
randomBN_20N37E3KMAX_16.bnet,1116,8,0.0747082233428955,20,37,3
randomBN_20N26E2KMAX_7.bnet,268,8,0.074099063873291,20,26,2
randomBN_20N39E3KMAX_12.bnet,391,8,0.0758960247039794,20,39,3
randomBN_20N25E2KMAX_5.bnet,172,8,0.074756383895874,20,25,2
randomBN_20N50E4KMAX_8.bnet,2594,8,0.0745575428009033,20,50,4
randomBN_20N25E2KMAX_12.bnet,194,8,0.0757069587707519,20,25,2
randomBN_20N27E2KMAX_1.bnet,208,8,0.0771338939666748,20,27,2
randomBN_20N27E2KMAX_19.bnet,192,8,0.0775392055511474,20,27,2
randomBN_20N38E4KMAX_3.bnet,337,8,0.0779128074645996,20,38,4
randomBN_20N46E4KMAX_18.bnet,1720,8,0.0759844779968261,20,46,4
randomBN_20N35E3KMAX_11.bnet,286,8,0.0775444507598877,20,35,3
randomBN_20N24E2KMAX_13.bnet,116,8,0.0773239135742187,20,24,2
randomBN_20N48E5KMAX_9.bnet,828,8,0.0771350860595703,20,48,5
randomBN_20N38E3KMAX_13.bnet,648,8,0.079453706741333,20,38,3
randomBN_20N26E2KMAX_4.bnet,12,8,0.0786917209625244,20,26,2
randomBN_20N25E2KMAX_2.bnet,202,8,0.0789186954498291,20,25,2
randomBN_20N44E4KMAX_13.bnet,712,8,0.0797107219696044,20,44,4
randomBN_20N41E4KMAX_6.bnet,862,9,0.0838944911956787,20,41,4
randomBN_20N35E3KMAX_4.bnet,290,9,0.0847945213317871,20,35,3
randomBN_20N29E3KMAX_6.bnet,426,9,0.0850210189819336,20,29,3
randomBN_20N47E4KMAX_14.bnet,1452,9,0.0852999687194824,20,47,4
randomBN_20N52E5KMAX_17.bnet,2120,8,0.0864176750183105,20,52,5
randomBN_20N53E5KMAX_11.bnet,1491,8,0.0886321067810058,20,53,5
randomBN_20N59E5KMAX_6.bnet,2382,8,0.0901153087615966,20,59,5
randomBN_20N53E5KMAX_8.bnet,1010,8,0.0883402824401855,20,53,5
randomBN_20N54E5KMAX_15.bnet,320,8,0.0932927131652832,20,54,5
randomBN_20N35E3KMAX_17.bnet,496,10,0.0938513278961181,20,35,3
randomBN_20N47E5KMAX_1.bnet,888,10,0.0929253101348877,20,47,5
